Codigo,Nombre,Provincia,Canton,Tipo
1001,ESCUELA POLITÉCNICA NACIONAL,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,Pública Nacional
1002,ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO,CHIMBORAZO,RIOBAMBA,Pública Nacional
1003,ESCUELA SUPERIOR POLITÉCNICA AGROPECUARIA DE MANABÍ MANUEL FÉLIX LÓPEZ - ESPAM MFL,MANABÍ,BOLÍVAR,Pública Nacional
1005,UNIVERSIDAD CENTRAL DEL ECUADOR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,Pública Nacional
1006,UNIVERSIDAD DE GUAYAQUIL,GUAYAS,GUAYAQUIL,Pública Nacional
1007,UNIVERSIDAD DE CUENCA,AZUAY,CUENCA,Pública Nacional
1008,UNIVERSIDAD NACIONAL DE LOJA,LOJA,LOJA,Pública Nacional
1009,UNIVERSIDAD TÉCNICA DE MANABÍ,MANABÍ,PORTOVIEJO,Pública Nacional
1010,UNIVERSIDAD TÉCNICA DE AMBATO,TUNGURAHUA,AMBATO,Pública Nacional
1011,UNIVERSIDAD TÉCNICA DE MACHALA,EL ORO,MACHALA,Pública Nacional
1012,"UNIVERSIDAD TÉCNICA ""LUIS VARGAS TORRES"" DE ESMERALDAS (UTLVTE)",ESMERALDAS,ESMERALDAS,Pública Nacional
1013,UNIVERSIDAD TÉCNICA DE BABAHOYO,LOS RÍOS,BABAHOYO,Pública Nacional
1014,UNIVERSIDAD TÉCNICA ESTATAL DE QUEVEDO,LOS RÍOS,QUEVEDO,Pública Nacional
1015,UNIVERSIDAD TÉCNICA DEL NORTE,IMBABURA,IBARRA,Pública Nacional
1016,"UNIVERSIDAD LAICA ""ELOY ALFARO"" DE MANABÍ",MANABÍ,MANTA,Pública Nacional
1017,UNIVERSIDAD ESTATAL DE BOLÍVAR,BOLÍVAR,GUARANDA,Pública Nacional
1018,UNIVERSIDAD AGRARIA DEL ECUADOR,GUAYAS,GUAYAQUIL,Pública Nacional
1019,UNIVERSIDAD NACIONAL DE CHIMBORAZO,CHIMBORAZO,RIOBAMBA,Pública Nacional
1020,UNIVERSIDAD TÉCNICA DE COTOPAXI,COTOPAXI,LATACUNGA,Pública Nacional
1021,ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL (ESPOL),GUAYAS,GUAYAQUIL,Pública Nacional
1022,UNIVERSIDAD ANDINA SIMÓN BOLÍVAR,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,Pública Nacional
1023,UNIVERSIDAD ESTATAL PENÍNSULA DE SANTA ELENA - UPSE,SANTA ELENA,LA LIBERTAD,Pública Nacional
1024,UNIVERSIDAD ESTATAL DE MILAGRO,GUAYAS,MILAGRO,Pública Nacional
1025,UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ,MANABÍ,JIPIJAPA,Pública Nacional
1026,"FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES, FLACSO",PICHINCHA,DISTRITO METROPOLITANO DE QUITO,Pública Nacional
1057,INSTITUTO DE ALTOS ESTUDIOS NACIONALES - IAEN,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,Pública Nacional
1058,UNIVERSIDAD ESTATAL AMAZÓNICA,PASTAZA,PASTAZA,Pública Nacional
1068,UNIVERSIDAD INTERCULTURAL DE LAS NACIONALIDADES Y PUEBLOS INDÍGENAS AMAWTAY WASI,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,Pública Nacional
1074,UNIVERSIDAD POLITÉCNICA ESTATAL DEL CARCHI,CARCHI,TULCÁN,Pública Nacional
1079,UNIVERSIDAD DE LAS FUERZAS ARMADAS-ESPE,PICHINCHA,RUMIÑAHUI,Pública Nacional
1080,UNIVERSIDAD REGIONAL AMAZÓNICA IKIAM,NAPO,TENA,Pública Nacional
1081,UNIVERSIDAD DE INVESTIGACIÓN DE TECNOLOGÍA EXPERIMENTAL YACHAY,IMBABURA,SAN MIGUEL DE URCUQUÍ,Pública Nacional
1082,UNIVERSIDAD DE LAS ARTES (UARTES),GUAYAS,GUAYAQUIL,Pública Nacional
1083,UNIVERSIDAD NACIONAL DE EDUCACIÓN,CAÑAR,AZOGUES,Pública Nacional
3068,UNIVERSIDAD DE SEGURIDAD CIUDADANA Y CIENCIAS POLICIALES - USECIPOL,PICHINCHA,DISTRITO METROPOLITANO DE QUITO,Pública Nacional
3069,UNIVERSIDAD PÚBLICA DE SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,Pública Nacional
